Step,Value
0,0.0
1,0.0
2,0.019278189167380333
3,0.0
4,0.0
5,0.99892258644104
6,0.0
7,0.99913090467453
8,0.99986732006073
9,0.9998717904090881
10,0.0
11,0.5054187178611755
12,1.0
13,1.0
14,0.0
15,0.10837578028440475
16,0.007557003293186426
17,0.0
18,0.44453269243240356
19,0.0
20,0.9897863268852234
21,0.9998854994773865
22,0.9998864531517029
23,0.0
24,0.998123824596405
25,0.9992157816886902
26,0.9654659032821655
27,0.05117618665099144
28,0.0
29,0.9993139505386353
30,0.6559790968894958
31,0.0
32,0.9993323683738708
33,0.0
34,0.9992491602897644
35,0.0
36,0.0
37,0.5454545617103577
38,0.0
39,0.9998127818107605
40,0.998736560344696
41,1.0
42,0.0
43,0.0
44,0.660048246383667
45,0.0
46,0.0
47,0.0
48,0.9992672801017761
49,0.0
50,0.9998485445976257
51,0.0
52,0.0
53,0.9990919828414917
54,1.0
55,1.0
56,0.0
57,0.0
58,0.0
59,0.9998267889022827
60,0.9996968507766724
61,0.0
62,0.0
63,0.9993769526481628
64,1.0
65,1.0
66,0.0
67,0.007044733967632055
68,0.0
69,0.9993461966514587
70,0.7404731512069702
71,0.0
72,0.6489267945289612
73,1.0
74,0.999616265296936
75,0.007951776497066021
76,0.0
77,0.9985556602478027
78,0.0
79,0.9988808035850525
80,0.03686061128973961
81,1.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.8693931102752686
89,0.0
90,0.9979262351989746
91,1.0
92,0.0
93,0.9997147917747498
94,0.0
95,0.9876523017883301
96,0.9978647828102112
97,0.9998398423194885
98,0.0
99,0.9993263483047485
100,0.9998447895050049
101,0.007824726402759552
102,0.0
103,0.0
104,0.9991176724433899
105,1.0
106,0.9218894243240356
107,0.9937041997909546
108,0.0
109,0.999656081199646
110,0.0
111,0.9686399102210999
112,0.38322827219963074
113,0.0
114,0.009900989942252636
115,0.04904426634311676
116,0.5408188104629517
117,0.0
118,0.0
119,0.004734972957521677
120,0.006847578100860119
121,0.0
122,0.9991981983184814
123,0.0
124,0.0
125,0.9994168281555176
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.9994487166404724
132,0.9995394945144653
133,0.0
134,0.2222025841474533
135,0.0
136,0.5414561033248901
137,0.0
138,0.9997478127479553
139,0.0
140,0.9973288178443909
141,0.0
142,0.6864784359931946
143,1.0
144,0.9998246431350708
145,0.0
146,0.2617284059524536
147,1.0
148,0.9998354315757751
149,1.0
150,0.9995009303092957
151,0.0
152,0.0
153,0.9994117617607117
154,0.0
155,0.9994946718215942
156,0.6793997287750244
157,0.0
158,0.0
159,0.0
160,0.999143123626709
161,0.0
162,0.033796295523643494
163,0.9996082782745361
164,0.0
165,0.0
166,0.01024590153247118
167,0.999274492263794
168,0.0
169,0.9995050430297852
170,0.9965273141860962
171,0.9998650550842285
172,0.0
173,0.0
174,0.0
175,0.9996658563613892
176,0.0
177,0.0
178,0.9995759129524231
179,0.9994178414344788
180,1.0
181,0.0
182,0.999717652797699
183,0.9985156059265137
184,0.7227767705917358
185,0.0
186,0.013323278166353703
187,0.0
188,0.9992843270301819
189,0.0
190,0.6575447916984558
191,1.0
192,1.0
193,0.028962939977645874
194,0.0
195,0.9998303651809692
196,0.0
197,0.9998522400856018
198,0.0064592668786644936
199,0.9802445769309998
200,0.0
201,0.9619826674461365
202,0.0
203,0.9991967678070068
204,0.0
205,0.035436198115348816
206,0.7497546672821045
207,0.991763710975647
208,1.0
209,0.0
210,0.9987125992774963
211,1.0
212,1.0
213,1.0
214,0.0
215,0.9993149042129517
216,0.0
217,0.730095386505127
218,1.0
219,0.0
220,0.9682011604309082
221,1.0
222,0.0
223,0.9994672536849976
224,0.0
225,0.0
226,0.0
227,0.0
228,0.9993078708648682
229,0.0
230,0.0
231,0.0
232,0.9995773434638977
233,0.9993030428886414
234,1.0
235,0.999405026435852
236,0.0
237,0.02235088124871254
238,1.0
239,0.4014016389846802
240,0.9869837164878845
241,0.0
242,0.008526602759957314
243,0.0
244,0.0
245,0.0
246,0.0
247,0.8412426114082336
248,1.0
249,1.0
250,0.0
251,0.0
252,1.0
253,0.2150411307811737
254,0.0
255,0.9560837149620056
256,0.0
257,0.0
258,0.9995951056480408
259,1.0
260,0.9996572136878967
261,1.0
262,1.0
263,0.9214293956756592
264,0.9997619986534119
265,1.0
266,0.0
267,0.0
268,0.9996996521949768
269,0.9994863867759705
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,1.0
277,0.0
278,0.999634861946106
279,0.0
280,1.0
281,0.999352753162384
282,0.9996068477630615
283,0.0
284,0.00602130638435483
285,0.9985846877098083
286,0.0
287,0.0
288,0.9996952414512634
289,0.3667815327644348
290,0.9995825886726379
291,0.9998806118965149
292,1.0
293,0.12377814203500748
294,0.9997004866600037
295,1.0
296,0.5491318106651306
297,0.564446747303009
298,0.0
299,0.9988198280334473
300,1.0
301,1.0
302,0.9998721480369568
303,1.0
304,0.0
305,0.9996817708015442
306,0.0
307,0.9068177938461304
308,0.999098002910614
309,1.0
310,0.0
311,0.5575057864189148
312,0.9995856881141663
313,0.0
314,0.0
315,0.0
316,0.9996718764305115
317,1.0
318,0.0
319,0.0
320,0.9988713264465332
321,0.9993159174919128
322,0.005729457829147577
323,0.9989583492279053
324,1.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.8768773674964905
330,0.06952303647994995
331,1.0
332,0.9996999502182007
333,1.0
334,0.0
335,0.9995790123939514
336,0.9998200535774231
337,0.999822735786438
338,0.9994304180145264
339,0.7779026031494141
340,0.9992481470108032
341,0.1976230889558792
342,0.011087337508797646
343,0.9220138192176819
344,1.0
345,0.0
346,0.9988950490951538
347,0.0
348,0.0
349,0.9992907643318176
350,0.08583144843578339
351,0.006729668006300926
352,0.9997152090072632
353,0.0
354,0.9994170069694519
355,0.3737373650074005
356,1.0
357,0.999751627445221
358,0.0
359,0.008525576442480087
360,0.007661706302314997
361,0.01424267329275608
362,0.0
363,0.999034583568573
364,0.9998589754104614
365,0.9556494355201721
366,0.9917343854904175
367,0.0
368,0.9993124604225159
369,0.9907238483428955
370,1.0
371,0.009220985695719719
372,0.11703857034444809
373,0.0
374,0.9108603000640869
375,1.0
376,0.0
377,0.8900555968284607
378,0.425737589597702
379,0.19800777733325958
380,0.007150566671043634
381,0.9997602105140686
382,0.8364561200141907
383,0.6784404516220093
384,1.0
385,0.0
386,0.7192280888557434
387,0.03918656334280968
388,1.0
389,0.0
390,0.9995068311691284
391,0.20875802636146545
392,0.9991769790649414
393,1.0
394,0.0
395,0.0
396,0.00881732814013958
397,0.9998296499252319
398,0.0
399,0.031841933727264404
400,1.0
401,0.00648648664355278
402,0.0
403,0.9989733099937439
404,1.0
405,0.9929654598236084
406,0.0466424897313118
407,0.9962546825408936
